date,vehicle_category,maker,electric_vehicles_sold
5/1/2023,4-Wheelers,Mercedes -Benz AG,9
5/1/2023,4-Wheelers,Volvo Auto India,34
5/1/2023,4-Wheelers,KIA Motors,36
6/1/2021,4-Wheelers,Tata Motors,572
6/1/2021,4-Wheelers,MG Motor,128
6/1/2021,4-Wheelers,Mahindra & Mahindra,106
6/1/2021,4-Wheelers,Hyundai Motor,10
6/1/2021,4-Wheelers,Mercedes -Benz AG,2
6/1/2022,4-Wheelers,Tata Motors,2169
6/1/2022,4-Wheelers,MG Motor,173
6/1/2022,4-Wheelers,Mahindra & Mahindra,787
6/1/2022,4-Wheelers,BYD India,36
6/1/2022,4-Wheelers,Hyundai Motor,39
6/1/2022,4-Wheelers,BMW India,4
6/1/2022,4-Wheelers,Mercedes -Benz AG,2
6/1/2023,4-Wheelers,Tata Motors,3671
6/1/2023,4-Wheelers,MG Motor,877
6/1/2023,4-Wheelers,Mahindra & Mahindra,2574
6/1/2023,4-Wheelers,BYD India,140
6/1/2023,4-Wheelers,Hyundai Motor,121
6/1/2023,4-Wheelers,PCA Automobiles,254
6/1/2023,4-Wheelers,BMW India,76
6/1/2023,4-Wheelers,Mercedes -Benz AG,14
6/1/2023,4-Wheelers,Volvo Auto India,33
6/1/2023,4-Wheelers,KIA Motors,30
7/1/2021,4-Wheelers,Tata Motors,696
7/1/2021,4-Wheelers,MG Motor,232
7/1/2021,4-Wheelers,Mahindra & Mahindra,171
7/1/2021,4-Wheelers,Hyundai Motor,18
7/1/2021,4-Wheelers,Mercedes -Benz AG,1
7/1/2022,4-Wheelers,Tata Motors,2264
7/1/2022,4-Wheelers,MG Motor,194
7/1/2022,4-Wheelers,Mahindra & Mahindra,866
7/1/2022,4-Wheelers,BYD India,32
7/1/2022,4-Wheelers,Hyundai Motor,45
7/1/2022,4-Wheelers,BMW India,4
7/1/2022,4-Wheelers,Mercedes -Benz AG,1
7/1/2023,4-Wheelers,Tata Motors,3823
7/1/2023,4-Wheelers,MG Motor,935
7/1/2023,4-Wheelers,Mahindra & Mahindra,2174
7/1/2023,4-Wheelers,BYD India,89
7/1/2023,4-Wheelers,Hyundai Motor,88
7/1/2023,4-Wheelers,PCA Automobiles,169
7/1/2023,4-Wheelers,BMW India,81
7/1/2023,4-Wheelers,Mercedes -Benz AG,23
7/1/2023,4-Wheelers,Volvo Auto India,26
7/1/2023,4-Wheelers,KIA Motors,22
8/1/2021,4-Wheelers,Tata Motors,584
8/1/2021,4-Wheelers,MG Motor,303
8/1/2021,4-Wheelers,Mahindra & Mahindra,204
8/1/2021,4-Wheelers,Hyundai Motor,10
8/1/2021,4-Wheelers,Mercedes -Benz AG,2
8/1/2022,4-Wheelers,Tata Motors,1931
8/1/2022,4-Wheelers,MG Motor,234
8/1/2022,4-Wheelers,Mahindra & Mahindra,1085
8/1/2022,4-Wheelers,BYD India,33
8/1/2022,4-Wheelers,Hyundai Motor,53
8/1/2022,4-Wheelers,BMW India,19
8/1/2022,4-Wheelers,Mercedes -Benz AG,3
8/1/2023,4-Wheelers,Tata Motors,3388
8/1/2023,4-Wheelers,MG Motor,913
8/1/2023,4-Wheelers,Mahindra & Mahindra,2013
8/1/2023,4-Wheelers,BYD India,80
8/1/2023,4-Wheelers,Hyundai Motor,141
8/1/2023,4-Wheelers,PCA Automobiles,89
8/1/2023,4-Wheelers,BMW India,64
8/1/2023,4-Wheelers,Mercedes -Benz AG,8
8/1/2023,4-Wheelers,Volvo Auto India,36
8/1/2023,4-Wheelers,KIA Motors,21
9/1/2021,4-Wheelers,Tata Motors,772
9/1/2021,4-Wheelers,MG Motor,263
9/1/2021,4-Wheelers,Mahindra & Mahindra,276
9/1/2021,4-Wheelers,Hyundai Motor,6
9/1/2021,4-Wheelers,Mercedes -Benz AG,2
9/1/2022,4-Wheelers,Tata Motors,1997
9/1/2022,4-Wheelers,MG Motor,207
9/1/2022,4-Wheelers,Mahindra & Mahindra,1213
9/1/2022,4-Wheelers,BYD India,48
9/1/2022,4-Wheelers,Hyundai Motor,57
9/1/2022,4-Wheelers,BMW India,21
9/1/2022,4-Wheelers,Mercedes -Benz AG,3
9/1/2023,4-Wheelers,Tata Motors,3126
9/1/2023,4-Wheelers,MG Motor,676
9/1/2023,4-Wheelers,Mahindra & Mahindra,1668
9/1/2023,4-Wheelers,BYD India,141
9/1/2023,4-Wheelers,Hyundai Motor,161
9/1/2023,4-Wheelers,PCA Automobiles,108
9/1/2023,4-Wheelers,BMW India,58
9/1/2023,4-Wheelers,Mercedes -Benz AG,41
9/1/2023,4-Wheelers,Volvo Auto India,42
9/1/2023,4-Wheelers,KIA Motors,26
10/1/2021,4-Wheelers,Tata Motors,803
10/1/2021,4-Wheelers,MG Motor,194
10/1/2021,4-Wheelers,Mahindra & Mahindra,369
10/1/2021,4-Wheelers,Hyundai Motor,8
10/1/2021,4-Wheelers,Mercedes -Benz AG,3
10/1/2022,4-Wheelers,Tata Motors,2395
10/1/2022,4-Wheelers,MG Motor,338
10/1/2022,4-Wheelers,Mahindra & Mahindra,1051
10/1/2022,4-Wheelers,BYD India,27
10/1/2022,4-Wheelers,Hyundai Motor,64
10/1/2022,4-Wheelers,BMW India,4
10/1/2022,4-Wheelers,Mercedes -Benz AG,4
10/1/2022,4-Wheelers,KIA Motors,29
10/1/2023,4-Wheelers,Tata Motors,3911
10/1/2023,4-Wheelers,MG Motor,714
10/1/2023,4-Wheelers,Mahindra & Mahindra,2027
10/1/2023,4-Wheelers,BYD India,109
10/1/2023,4-Wheelers,Hyundai Motor,148
10/1/2023,4-Wheelers,PCA Automobiles,132
10/1/2023,4-Wheelers,BMW India,71
10/1/2023,4-Wheelers,Mercedes -Benz AG,18
10/1/2023,4-Wheelers,Volvo Auto India,41
10/1/2023,4-Wheelers,KIA Motors,39
11/1/2021,4-Wheelers,Tata Motors,1036
11/1/2021,4-Wheelers,MG Motor,118
11/1/2021,4-Wheelers,Mahindra & Mahindra,462
11/1/2021,4-Wheelers,Hyundai Motor,7
11/1/2021,4-Wheelers,Mercedes -Benz AG,2
11/1/2022,4-Wheelers,Tata Motors,2264
11/1/2022,4-Wheelers,MG Motor,464
11/1/2022,4-Wheelers,Mahindra & Mahindra,1067
11/1/2022,4-Wheelers,BYD India,39
11/1/2022,4-Wheelers,Hyundai Motor,59
11/1/2022,4-Wheelers,BMW India,14
11/1/2022,4-Wheelers,Mercedes -Benz AG,4
11/1/2022,4-Wheelers,Volvo Auto India,5
11/1/2022,4-Wheelers,KIA Motors,61
11/1/2023,4-Wheelers,Tata Motors,4432
11/1/2023,4-Wheelers,MG Motor,723
11/1/2023,4-Wheelers,Mahindra & Mahindra,1222
11/1/2023,4-Wheelers,BYD India,106
11/1/2023,4-Wheelers,Hyundai Motor,125
11/1/2023,4-Wheelers,PCA Automobiles,98
11/1/2023,4-Wheelers,BMW India,215
11/1/2023,4-Wheelers,Mercedes -Benz AG,35
11/1/2023,4-Wheelers,Volvo Auto India,57
11/1/2023,4-Wheelers,KIA Motors,29
12/1/2021,4-Wheelers,Tata Motors,1952
12/1/2021,4-Wheelers,MG Motor,99
12/1/2021,4-Wheelers,Mahindra & Mahindra,552
12/1/2021,4-Wheelers,BYD India,1
12/1/2021,4-Wheelers,Hyundai Motor,10
12/1/2021,4-Wheelers,Mercedes -Benz AG,1
12/1/2022,4-Wheelers,Tata Motors,1992
12/1/2022,4-Wheelers,MG Motor,363
12/1/2022,4-Wheelers,Mahindra & Mahindra,1260
12/1/2022,4-Wheelers,BYD India,37
12/1/2022,4-Wheelers,Hyundai Motor,68
12/1/2022,4-Wheelers,BMW India,27
12/1/2022,4-Wheelers,Mercedes -Benz AG,6
12/1/2022,4-Wheelers,Volvo Auto India,16
12/1/2022,4-Wheelers,KIA Motors,65
12/1/2023,4-Wheelers,Tata Motors,4893
12/1/2023,4-Wheelers,MG Motor,753
12/1/2023,4-Wheelers,Mahindra & Mahindra,1015
12/1/2023,4-Wheelers,BYD India,135
12/1/2023,4-Wheelers,Hyundai Motor,97
12/1/2023,4-Wheelers,PCA Automobiles,40
12/1/2023,4-Wheelers,BMW India,137
12/1/2023,4-Wheelers,Mercedes -Benz AG,51
12/1/2023,4-Wheelers,Volvo Auto India,47
12/1/2023,4-Wheelers,KIA Motors,23
1/1/2022,4-Wheelers,Tata Motors,1012
1/1/2022,4-Wheelers,MG Motor,48
1/1/2022,4-Wheelers,Mahindra & Mahindra,474
1/1/2022,4-Wheelers,BYD India,8
1/1/2022,4-Wheelers,Hyundai Motor,6
1/1/2022,4-Wheelers,Mercedes -Benz AG,2
1/1/2023,4-Wheelers,Tata Motors,1812
1/1/2023,4-Wheelers,MG Motor,313
1/1/2023,4-Wheelers,Mahindra & Mahindra,967
1/1/2023,4-Wheelers,BYD India,101
1/1/2023,4-Wheelers,Hyundai Motor,84
1/1/2023,4-Wheelers,BMW India,91
1/1/2023,4-Wheelers,Mercedes -Benz AG,14
1/1/2023,4-Wheelers,Volvo Auto India,21
1/1/2023,4-Wheelers,KIA Motors,35
1/1/2024,4-Wheelers,Tata Motors,5674
1/1/2024,4-Wheelers,MG Motor,908
1/1/2024,4-Wheelers,Mahindra & Mahindra,896
1/1/2024,4-Wheelers,BYD India,123
1/1/2024,4-Wheelers,Hyundai Motor,128
1/1/2024,4-Wheelers,PCA Automobiles,23
1/1/2024,4-Wheelers,BMW India,116
1/1/2024,4-Wheelers,Mercedes -Benz AG,29
1/1/2024,4-Wheelers,Volvo Auto India,42
1/1/2024,4-Wheelers,KIA Motors,29
2/1/2022,4-Wheelers,Tata Motors,1922
2/1/2022,4-Wheelers,MG Motor,30
2/1/2022,4-Wheelers,Mahindra & Mahindra,478
2/1/2022,4-Wheelers,BYD India,10
2/1/2022,4-Wheelers,Hyundai Motor,6
2/1/2022,4-Wheelers,Mercedes -Benz AG,3
2/1/2023,4-Wheelers,Tata Motors,2651
2/1/2023,4-Wheelers,MG Motor,261
2/1/2023,4-Wheelers,Mahindra & Mahindra,1531
2/1/2023,4-Wheelers,BYD India,174
2/1/2023,4-Wheelers,Hyundai Motor,36
2/1/2023,4-Wheelers,BMW India,43
2/1/2023,4-Wheelers,Mercedes -Benz AG,12
2/1/2023,4-Wheelers,Volvo Auto India,26
2/1/2023,4-Wheelers,KIA Motors,22
2/1/2024,4-Wheelers,Tata Motors,5081
2/1/2024,4-Wheelers,MG Motor,829
2/1/2024,4-Wheelers,Mahindra & Mahindra,712
2/1/2024,4-Wheelers,BYD India,135
2/1/2024,4-Wheelers,Hyundai Motor,94
2/1/2024,4-Wheelers,PCA Automobiles,64
2/1/2024,4-Wheelers,BMW India,97
2/1/2024,4-Wheelers,Mercedes -Benz AG,24
2/1/2024,4-Wheelers,Volvo Auto India,35
2/1/2024,4-Wheelers,KIA Motors,17
3/1/2022,4-Wheelers,Tata Motors,2900
3/1/2022,4-Wheelers,MG Motor,75
3/1/2022,4-Wheelers,Mahindra & Mahindra,701
3/1/2022,4-Wheelers,BYD India,14
3/1/2022,4-Wheelers,Hyundai Motor,14
3/1/2022,4-Wheelers,BMW India,7
3/1/2022,4-Wheelers,Mercedes -Benz AG,5
3/1/2022,4-Wheelers,Volvo Auto India,4
3/1/2023,4-Wheelers,Tata Motors,5065
3/1/2023,4-Wheelers,MG Motor,372
3/1/2023,4-Wheelers,Mahindra & Mahindra,2745
3/1/2023,4-Wheelers,BYD India,348
3/1/2023,4-Wheelers,Hyundai Motor,35
3/1/2023,4-Wheelers,PCA Automobiles,151
3/1/2023,4-Wheelers,BMW India,40
3/1/2023,4-Wheelers,Mercedes -Benz AG,10
3/1/2023,4-Wheelers,Volvo Auto India,37
3/1/2023,4-Wheelers,KIA Motors,17
3/1/2024,4-Wheelers,Tata Motors,6606
3/1/2024,4-Wheelers,MG Motor,885
3/1/2024,4-Wheelers,Mahindra & Mahindra,708
3/1/2024,4-Wheelers,BYD India,142
3/1/2024,4-Wheelers,Hyundai Motor,116
3/1/2024,4-Wheelers,PCA Automobiles,130
3/1/2024,4-Wheelers,BMW India,55
3/1/2024,4-Wheelers,Mercedes -Benz AG,31
3/1/2024,4-Wheelers,Volvo Auto India,39
3/1/2024,4-Wheelers,KIA Motors,26
4/1/2021,2-Wheelers,HERO ELECTRIC,759
4/1/2021,2-Wheelers,OKINAWA,1251
4/1/2021,2-Wheelers,AMPERE,751
4/1/2021,2-Wheelers,ATHER,903
4/1/2021,2-Wheelers,PURE EV,581
4/1/2021,2-Wheelers,TVS,302
4/1/2021,2-Wheelers,REVOLT,138
4/1/2021,2-Wheelers,BAJAJ,48
4/1/2021,2-Wheelers,BEING,171
4/1/2021,2-Wheelers,JITENDRA,36
4/1/2021,2-Wheelers,OTHERS,749
4/1/2022,2-Wheelers,OLA ELECTRIC,13601
4/1/2022,2-Wheelers,OKINAWA,11341
4/1/2022,2-Wheelers,HERO ELECTRIC,6803
4/1/2022,2-Wheelers,AMPERE,6864
4/1/2022,2-Wheelers,TVS,1498
4/1/2022,2-Wheelers,ATHER,2451
4/1/2022,2-Wheelers,BAJAJ,1223
4/1/2022,2-Wheelers,REVOLT,1241
4/1/2022,2-Wheelers,PURE EV,1756
4/1/2022,2-Wheelers,BEING,874
4/1/2022,2-Wheelers,JITENDRA,940
4/1/2022,2-Wheelers,OTHERS,4683
4/1/2023,2-Wheelers,OLA ELECTRIC,22548
4/1/2023,2-Wheelers,TVS,8654
4/1/2023,2-Wheelers,ATHER,7707
4/1/2023,2-Wheelers,BAJAJ,4043
4/1/2023,2-Wheelers,AMPERE,8767
4/1/2023,2-Wheelers,OKINAWA,3179
4/1/2023,2-Wheelers,HERO ELECTRIC,3293
4/1/2023,2-Wheelers,OKAYA EV,1544
4/1/2023,2-Wheelers,BGAUSS,762
4/1/2023,2-Wheelers,BATTRE ELECTRIC,644
4/1/2023,2-Wheelers,KINETIC GREEN,838
4/1/2023,2-Wheelers,REVOLT,520
4/1/2023,2-Wheelers,OTHERS,4315
5/1/2021,2-Wheelers,HERO ELECTRIC,170
5/1/2021,2-Wheelers,OKINAWA,245
5/1/2021,2-Wheelers,AMPERE,147
5/1/2021,2-Wheelers,ATHER,160
5/1/2021,2-Wheelers,PURE EV,122
5/1/2021,2-Wheelers,TVS,9
5/1/2021,2-Wheelers,REVOLT,42
5/1/2021,2-Wheelers,BAJAJ,20
5/1/2021,2-Wheelers,BEING,54
5/1/2021,2-Wheelers,JITENDRA,13
5/1/2021,2-Wheelers,OTHERS,260
5/1/2022,2-Wheelers,OLA ELECTRIC,9266
5/1/2022,2-Wheelers,OKINAWA,10340
5/1/2022,2-Wheelers,HERO ELECTRIC,2970
5/1/2022,2-Wheelers,AMPERE,6176
5/1/2022,2-Wheelers,TVS,478
5/1/2022,2-Wheelers,ATHER,3337
5/1/2022,2-Wheelers,BAJAJ,1812
5/1/2022,2-Wheelers,OKAYA EV,19
5/1/2022,2-Wheelers,REVOLT,1589
5/1/2022,2-Wheelers,PURE EV,1464
5/1/2022,2-Wheelers,BEING,862
5/1/2022,2-Wheelers,JITENDRA,646
5/1/2022,2-Wheelers,OTHERS,3455
5/1/2023,2-Wheelers,OLA ELECTRIC,29447
5/1/2023,2-Wheelers,TVS,20188
5/1/2023,2-Wheelers,ATHER,15243
5/1/2023,2-Wheelers,BAJAJ,9976
5/1/2023,2-Wheelers,AMPERE,10659
5/1/2023,2-Wheelers,OKINAWA,2873
5/1/2023,2-Wheelers,HERO ELECTRIC,2085
5/1/2023,2-Wheelers,OKAYA EV,3831
5/1/2023,2-Wheelers,BGAUSS,1792
5/1/2023,2-Wheelers,BATTRE ELECTRIC,1185
5/1/2023,2-Wheelers,KINETIC GREEN,886
5/1/2023,2-Wheelers,REVOLT,565
5/1/2023,2-Wheelers,OTHERS,6627
6/1/2021,2-Wheelers,HERO ELECTRIC,1355
6/1/2021,2-Wheelers,OKINAWA,984
6/1/2021,2-Wheelers,AMPERE,299
6/1/2021,2-Wheelers,ATHER,320
6/1/2021,2-Wheelers,PURE EV,460
6/1/2021,2-Wheelers,TVS,208
6/1/2021,2-Wheelers,REVOLT,59
6/1/2021,2-Wheelers,BAJAJ,176
6/1/2021,2-Wheelers,BEING,198
6/1/2021,2-Wheelers,JITENDRA,43
6/1/2021,2-Wheelers,OTHERS,567
6/1/2022,2-Wheelers,OLA ELECTRIC,5897
6/1/2022,2-Wheelers,OKINAWA,7554
6/1/2022,2-Wheelers,HERO ELECTRIC,6836
6/1/2022,2-Wheelers,AMPERE,6919
6/1/2022,2-Wheelers,TVS,1983
6/1/2022,2-Wheelers,ATHER,3829
6/1/2022,2-Wheelers,BAJAJ,1824
6/1/2022,2-Wheelers,OKAYA EV,760
6/1/2022,2-Wheelers,REVOLT,2423
6/1/2022,2-Wheelers,PURE EV,1125
6/1/2022,2-Wheelers,BEING,1005
6/1/2022,2-Wheelers,JITENDRA,568
6/1/2022,2-Wheelers,OTHERS,3658
6/1/2023,2-Wheelers,OLA ELECTRIC,17768
6/1/2023,2-Wheelers,TVS,7772
6/1/2023,2-Wheelers,ATHER,4547
6/1/2023,2-Wheelers,BAJAJ,2975
6/1/2023,2-Wheelers,AMPERE,3006
6/1/2023,2-Wheelers,OKINAWA,2588
6/1/2023,2-Wheelers,HERO ELECTRIC,1123
6/1/2023,2-Wheelers,OKAYA EV,419
6/1/2023,2-Wheelers,BGAUSS,189
6/1/2023,2-Wheelers,BATTRE ELECTRIC,82
6/1/2023,2-Wheelers,KINETIC GREEN,201
6/1/2023,2-Wheelers,REVOLT,705
6/1/2023,2-Wheelers,OTHERS,4466
7/1/2021,2-Wheelers,HERO ELECTRIC,4557
7/1/2021,2-Wheelers,OKINAWA,2633
7/1/2021,2-Wheelers,AMPERE,663
7/1/2021,2-Wheelers,ATHER,1799
7/1/2021,2-Wheelers,PURE EV,1417
7/1/2021,2-Wheelers,TVS,648
7/1/2021,2-Wheelers,REVOLT,321
7/1/2021,2-Wheelers,BAJAJ,730
7/1/2021,2-Wheelers,BEING,494
7/1/2021,2-Wheelers,JITENDRA,212
7/1/2021,2-Wheelers,OTHERS,1202
7/1/2022,2-Wheelers,OLA ELECTRIC,3864
7/1/2022,2-Wheelers,OKINAWA,8394
7/1/2022,2-Wheelers,HERO ELECTRIC,9334
7/1/2022,2-Wheelers,AMPERE,6812
7/1/2022,2-Wheelers,TVS,4348
7/1/2022,2-Wheelers,ATHER,1289
7/1/2022,2-Wheelers,BAJAJ,2482
7/1/2022,2-Wheelers,OKAYA EV,1076
7/1/2022,2-Wheelers,REVOLT,2318
7/1/2022,2-Wheelers,PURE EV,1000
7/1/2022,2-Wheelers,BEING,1245
7/1/2022,2-Wheelers,JITENDRA,880
7/1/2022,2-Wheelers,OTHERS,3562
7/1/2023,2-Wheelers,OLA ELECTRIC,19409
7/1/2023,2-Wheelers,TVS,10272
7/1/2023,2-Wheelers,ATHER,6604
7/1/2023,2-Wheelers,BAJAJ,4081
7/1/2023,2-Wheelers,AMPERE,3530
7/1/2023,2-Wheelers,OKINAWA,2238
7/1/2023,2-Wheelers,HERO ELECTRIC,770
7/1/2023,2-Wheelers,OKAYA EV,775
7/1/2023,2-Wheelers,BGAUSS,653
7/1/2023,2-Wheelers,BATTRE ELECTRIC,133
7/1/2023,2-Wheelers,KINETIC GREEN,229
7/1/2023,2-Wheelers,REVOLT,478
7/1/2023,2-Wheelers,OTHERS,5020
8/1/2021,2-Wheelers,HERO ELECTRIC,5527
8/1/2021,2-Wheelers,OKINAWA,2894
8/1/2021,2-Wheelers,AMPERE,810
8/1/2021,2-Wheelers,ATHER,1613
8/1/2021,2-Wheelers,PURE EV,1094
8/1/2021,2-Wheelers,TVS,651
8/1/2021,2-Wheelers,REVOLT,853
8/1/2021,2-Wheelers,BAJAJ,796
8/1/2021,2-Wheelers,BEING,325
8/1/2021,2-Wheelers,JITENDRA,208
8/1/2021,2-Wheelers,OTHERS,1279
8/1/2022,2-Wheelers,OLA ELECTRIC,3475
8/1/2022,2-Wheelers,OKINAWA,8756
8/1/2022,2-Wheelers,HERO ELECTRIC,9925
8/1/2022,2-Wheelers,AMPERE,6771
8/1/2022,2-Wheelers,TVS,6426
8/1/2022,2-Wheelers,ATHER,5376
8/1/2022,2-Wheelers,BAJAJ,2620
8/1/2022,2-Wheelers,OKAYA EV,905
8/1/2022,2-Wheelers,REVOLT,1662
8/1/2022,2-Wheelers,PURE EV,880
8/1/2022,2-Wheelers,BEING,1099
8/1/2022,2-Wheelers,JITENDRA,653
8/1/2022,2-Wheelers,OTHERS,3678
8/1/2023,2-Wheelers,OLA ELECTRIC,18983
8/1/2023,2-Wheelers,TVS,15296
8/1/2023,2-Wheelers,ATHER,7065
8/1/2023,2-Wheelers,BAJAJ,6508
8/1/2023,2-Wheelers,AMPERE,3654
8/1/2023,2-Wheelers,OKINAWA,1977
8/1/2023,2-Wheelers,HERO ELECTRIC,774
8/1/2023,2-Wheelers,OKAYA EV,1137
8/1/2023,2-Wheelers,BGAUSS,912
8/1/2023,2-Wheelers,BATTRE ELECTRIC,287
8/1/2023,2-Wheelers,KINETIC GREEN,380
8/1/2023,2-Wheelers,REVOLT,508
8/1/2023,2-Wheelers,OTHERS,4990
9/1/2021,2-Wheelers,HERO ELECTRIC,6727
9/1/2021,2-Wheelers,OKINAWA,3321
9/1/2021,2-Wheelers,AMPERE,807
9/1/2021,2-Wheelers,ATHER,2174
